,x,y,bac,bac_gtc,bac_murcko,bac_murcko_generic
CHEMBL591939,4.01108610979,-45.7659393394,0,1,4,1
CHEMBL591940,3.98248160686,-45.7530418451,0,1,4,1
CHEMBL592752,20.6474674073,41.958098579,0,4,3,4
CHEMBL593889,-29.5963170244,6.72925104236,0,3,2,3
CHEMBL594548,31.978171512,-34.1598851344,1,4,4,4
CHEMBL595252,-13.7161024462,-15.9034386915,2,1,0,3
CHEMBL595301,-28.7042763242,7.03750436503,0,3,2,3
CHEMBL596199,29.5641008084,-34.7075394098,1,4,4,4
CHEMBL597002,0.791014040095,-43.6723872704,0,1,4,1
CHEMBL597009,2.17376571445,-46.015668829,0,1,4,1
CHEMBL598229,1.95880698266,-44.9684165467,0,1,4,1
CHEMBL598443,1.11633723498,-43.3080841946,0,1,4,1
CHEMBL598444,3.00441134901,-43.0471316356,0,1,4,1
CHEMBL598850,1.63868192164,-41.637698134,0,1,4,1
CHEMBL598851,2.05139166578,-41.1907212767,0,1,4,1
CHEMBL599023,4.09263499199,-44.7339915653,0,1,4,1
CHEMBL599263,4.00012449839,-44.8942458301,0,1,4,1
CHEMBL599466,4.06494611867,-44.8259561432,0,1,4,1
CHEMBL599663,1.46173614504,-41.691356084,0,1,4,1
CHEMBL601773,23.3489196278,-41.8174164449,3,4,4,4
CHEMBL60264,-34.5468317877,17.792762534,4,4,0,0
CHEMBL603483,2.09330752742,-40.9529634937,0,1,4,1
CHEMBL604102,2.00811720936,-43.5889167503,0,1,4,1
CHEMBL605081,21.5329790006,41.6923916126,0,4,3,4
CHEMBL605292,-28.8813377612,5.71959444652,0,3,2,3
CHEMBL605405,21.2648750788,41.5174579,0,4,3,4
CHEMBL605938,-28.6687584778,6.10142888451,0,3,2,3
CHEMBL605971,2.79768024062,-45.8173993643,0,1,4,1
CHEMBL606401,2.186134459,-41.116724886,0,1,4,1
CHEMBL606546,28.2762469634,-30.8004955932,1,4,4,4
CHEMBL606547,27.8797663242,-31.4489012359,1,4,4,4
CHEMBL606548,25.2917223976,-32.3368598846,1,4,4,4
CHEMBL606549,27.1410052894,-33.6467419472,1,4,4,4
CHEMBL606556,27.8628745252,-30.1858018959,1,4,4,4
CHEMBL606557,26.6781330466,-33.7740735497,1,4,4,4
CHEMBL606558,24.4476545598,-30.8090317688,1,4,4,4
CHEMBL606559,26.2282027119,-33.2649645513,1,4,4,4
CHEMBL606636,27.0145006739,-33.5709368716,1,4,4,4
CHEMBL606637,25.9110955548,-31.6913152294,1,4,4,4
CHEMBL606638,27.406616547,-30.3348071235,1,4,4,4
CHEMBL606639,30.6148371755,-32.8984814431,1,4,4,4
CHEMBL60669,-38.2464241082,19.1927436621,4,4,0,0
CHEMBL606703,32.5733167061,-33.0841047795,1,4,4,4
CHEMBL606704,29.6813106183,-32.8942539458,1,4,4,4
CHEMBL606705,30.8958784123,-32.6080002995,1,4,4,4
CHEMBL606706,24.2625392252,-31.2108548088,1,4,4,4
CHEMBL606763,26.9125202091,-32.6643577783,1,4,4,4
CHEMBL606764,26.5560735967,-31.5208573075,1,4,4,4
CHEMBL606765,26.6781326173,-33.774070976,1,4,4,4
CHEMBL606766,25.0784119953,-33.2052816314,1,4,4,4
CHEMBL606815,27.1148576105,-35.7450965128,1,4,4,4
CHEMBL606816,25.5862412901,-31.5853165047,1,4,4,4
CHEMBL606817,27.0419560044,-32.577167324,1,4,4,4
CHEMBL606818,27.4066189566,-30.3348044241,1,4,4,4
CHEMBL606868,31.3899317231,-30.9763292938,1,4,4,4
CHEMBL606870,30.2704056857,-33.3673398348,1,4,4,4
CHEMBL606871,33.4725463994,-32.2886903129,1,4,4,4
CHEMBL609736,28.7821568301,-30.4147834409,1,4,4,4
