,x,y,bac,bac_gtc,bac_murcko,bac_murcko_generic
CHEMBL1095822,16.9650372447,-24.5048123133,3,1,2,0
CHEMBL1095999,17.1744871464,-23.3583673322,3,1,2,0
CHEMBL1096078,-6.58096193349,3.9375591634,4,1,3,2
CHEMBL1096134,16.8264887022,-24.4886938467,3,1,2,0
CHEMBL1096409,-7.12050493644,5.13631131584,3,1,3,0
CHEMBL1096410,-6.52856154947,3.93238618545,4,1,3,2
CHEMBL1096692,-7.10739647978,5.7392076923,3,4,3,0
CHEMBL1096693,-7.11099705299,5.74713330008,3,1,3,0
CHEMBL1096751,-13.4378794865,14.5076382079,1,4,1,2
CHEMBL1096753,-5.83026121047,5.1491793619,4,1,3,2
CHEMBL1096754,-7.16683474982,5.1212621784,3,1,3,0
CHEMBL1096896,-10.6550838315,-0.875979975296,4,3,4,4
CHEMBL109691,7.34420814415,-1.40776138665,3,4,3,0
CHEMBL1096998,17.5353289269,-23.8961175884,3,1,2,0
CHEMBL1097050,-7.12029501084,5.11535852086,3,1,3,0
CHEMBL1097072,7.29024861395,6.02853009808,0,2,0,3
CHEMBL1097073,5.22416759498,-12.9737548938,1,4,1,1
CHEMBL1097074,2.44058470276,-1.89325668784,1,1,1,1
CHEMBL1097494,17.1175694037,-23.5058047615,3,1,2,0
CHEMBL1097495,16.9718277676,-23.7755660302,3,1,2,0
CHEMBL109753,2.46028575522,18.4164780365,1,4,1,0
CHEMBL1097549,-12.2071429095,4.14203283342,4,3,4,4
CHEMBL1097736,-6.56633016634,3.91493275181,4,1,3,2
CHEMBL1097737,-5.82141424403,5.10558018841,4,1,3,4
CHEMBL1097859,8.63253460661,21.1130823951,1,4,3,1
CHEMBL1098075,-7.10842819421,5.12990270457,3,1,3,0
CHEMBL1098108,-7.17399036319,5.10709691214,3,1,3,0
CHEMBL1098109,-7.16884893577,5.12894819808,3,1,3,0
CHEMBL1098183,-13.9210252957,0.0819692046055,4,3,4,4
CHEMBL1098184,-14.043047968,1.06650379135,4,3,4,4
CHEMBL1098400,0.546987617871,2.40734016903,4,3,4,4
CHEMBL1098438,5.86373965032,-14.7688140985,3,4,1,3
CHEMBL1098439,-7.55038542495,8.43612710805,3,1,3,1
CHEMBL1098443,2.42543777287,-1.8834777303,1,1,1,1
CHEMBL1098444,2.42213924647,-1.89110182707,1,1,1,1
CHEMBL1098445,-6.5960081603,3.83602190999,4,1,3,2
CHEMBL109845,0.954607249169,17.8452252192,1,4,1,0
CHEMBL1098457,16.8384150046,-24.3781802667,3,1,2,0
CHEMBL1098458,17.6026201314,-24.1084128806,3,1,2,0
CHEMBL1098507,-13.9615673712,3.37035073049,4,3,4,4
CHEMBL1098521,1.79057381609,1.98214209,4,3,4,4
CHEMBL1098715,1.02210581106,1.61525919987,4,3,4,4
CHEMBL1098758,-6.60994318401,3.84443321234,4,1,3,2
CHEMBL1098759,-6.58818614707,3.82905780999,4,1,3,2
CHEMBL1098765,17.5114385692,-24.133962631,3,1,2,0
CHEMBL1099028,19.1438108704,-23.1101602107,3,1,2,0
CHEMBL1099100,2.47414419809,-1.91688232664,1,1,1,1
CHEMBL1099102,-7.09055363179,5.25196790688,3,1,3,0
CHEMBL1099126,1.12884066522,2.18347024685,4,3,4,4
CHEMBL1099127,0.875718734777,1.51040353875,4,3,4,4
CHEMBL1099128,0.553481223527,2.41010102231,4,3,4,4
CHEMBL1099129,0.551737784495,2.43816837027,4,3,4,4
CHEMBL1099368,19.106383182,-23.1572974512,3,1,2,0
CHEMBL110047,3.05680017456,18.1210745705,1,4,1,0
CHEMBL110069,2.53661049557,17.7387087037,1,4,1,2
CHEMBL110074,1.65137338724,17.7639503381,1,4,1,0
CHEMBL110646,3.05679997084,18.1210745662,1,4,1,0
CHEMBL110698,1.56748066036,17.9146671039,1,4,1,2
CHEMBL112098,25.9036732839,-3.83643100524,0,2,0,3
CHEMBL112195,1.773198626,16.2662453525,1,4,1,0
CHEMBL112249,3.10567332147,18.2378532145,1,4,1,0
CHEMBL112631,1.59126968001,17.8194913327,1,4,1,2
CHEMBL112740,2.97181329138,18.2653779219,1,4,1,0
CHEMBL112756,7.31312910128,-1.41484620314,3,4,3,0
CHEMBL112773,1.55723575886,17.9373931567,1,4,1,0
CHEMBL112897,3.01153390904,18.3785722495,2,4,1,0
CHEMBL112923,26.0145212216,-2.81815393834,0,2,0,3
CHEMBL113,7.52660597603,6.16769939799,0,2,0,3
CHEMBL113009,3.08634834867,17.9418080902,1,4,1,2
CHEMBL113142,-8.22406299186,14.7214578103,2,0,2,1
CHEMBL113189,3.7317343531,18.3563300384,1,4,1,2
CHEMBL113228,1.22381618401,17.0859233793,1,4,1,0
CHEMBL113376,-0.820427592017,15.5899382908,1,4,1,0
CHEMBL113412,3.49198728129,16.2116426732,1,4,1,0
CHEMBL113420,25.9114131711,-3.63667125799,0,2,0,3
CHEMBL113468,2.95830622863,18.2822192151,2,4,1,0
CHEMBL113512,26.0185113842,-2.0337776379,0,2,0,3
CHEMBL113518,7.78771404893,-0.940608991317,3,4,3,0
CHEMBL113541,2.99677271989,18.1445898578,1,4,1,2
CHEMBL113542,2.88071762341,18.257028976,1,4,1,0
CHEMBL113967,1.67375367258,17.9402660523,1,4,1,0
CHEMBL114185,2.68890460285,18.2596267679,1,4,1,0
CHEMBL114405,1.31014241631,16.6315872513,1,4,1,0
CHEMBL114832,25.8983407048,-2.53773448582,0,2,0,3
CHEMBL115769,0.197671423016,-7.98588721845,1,1,1,0
CHEMBL1161797,21.8810643792,7.20223284723,3,1,3,2
