,x,y,year
CHEMBL1182827,17.8905358503,-52.3947176771,2001
CHEMBL1182828,13.9340271191,-53.9348570809,2001
CHEMBL1185943,17.7492761644,-37.1483544381,2009
CHEMBL1185954,14.284355198,-33.7783332676,2009
CHEMBL1186019,22.9107774813,-37.1076200393,2009
CHEMBL1186092,17.4853034577,-40.1129485259,2009
CHEMBL1186099,18.8260777023,-43.0583757813,2009
CHEMBL1186108,21.9968674913,-41.6846921178,2009
CHEMBL1186115,16.1811914044,-40.8469488324,2009
CHEMBL1186133,14.1943325492,-42.6978032347,2009
CHEMBL1186135,16.3023296291,-39.2509617077,2009
CHEMBL1186164,16.3418050371,-32.7121289735,2009
CHEMBL1186169,17.9546006897,-38.7600461862,2009
CHEMBL1186193,18.134768766,-47.0252857658,2009
CHEMBL1186458,15.7602950449,-34.0181986547,2009
CHEMBL1186509,12.8901491551,-31.5493167892,2009
CHEMBL1186561,14.1266704883,-34.8043013005,2009
CHEMBL1186562,19.339312688,-31.8579485104,2009
CHEMBL1186590,16.409390633,-41.5825877802,2009
CHEMBL1186595,17.2835718401,-42.6858871741,2009
CHEMBL1186607,21.057993657,-34.3030927939,2009
CHEMBL1186608,10.7528127586,-42.061226603,2009
CHEMBL1186668,13.7538203605,-37.6031949384,2009
CHEMBL1186669,16.1581997764,-47.5827581164,2009
CHEMBL1186672,19.5623077698,-35.5107392126,2009
CHEMBL1186673,10.4033435358,-47.4167769374,2009
CHEMBL1186674,19.8389165097,-41.7693985972,2009
CHEMBL1186675,11.4269094075,-47.7504459151,2009
CHEMBL1186686,13.6977171989,-45.2580508106,2009
CHEMBL1186687,12.9063461819,-32.0004529127,2009
CHEMBL1186699,16.9182716999,-43.5821391153,2009
CHEMBL1186700,20.1649987827,-40.6276109199,2009
CHEMBL1186705,18.7784064152,-42.6466508399,2009
CHEMBL1186710,18.6052478861,-47.7325994529,2009
CHEMBL1186718,20.9563665023,-35.0169945415,2009
CHEMBL1186719,17.9735351087,-33.8810509712,2009
CHEMBL1186720,21.5568260372,-35.6458724355,2009
CHEMBL1186735,16.5127394805,-37.9358129745,2009
CHEMBL1186736,15.4611333187,-40.9993499839,2009
CHEMBL1186737,16.1574820379,-44.8063295251,2009
CHEMBL1187088,22.7410483923,-42.0249151647,2009
CHEMBL1187168,15.7539832065,-44.5474095819,2009
CHEMBL1187169,15.3084317468,-46.1609227046,2009
CHEMBL1187177,41.4963897732,22.6621886151,2008
CHEMBL1187185,-49.0826998077,14.9223808494,2009
CHEMBL1187186,18.2502489354,-38.368239993,2009
CHEMBL1187187,13.7247166194,-43.6001913737,2009
CHEMBL1187192,18.591579528,-38.1222720782,2009
CHEMBL1187194,15.0512911179,-36.0233481336,2009
CHEMBL1187195,15.7516200439,-37.7437868417,2009
CHEMBL1187196,14.5091834262,-44.3297816972,2009
CHEMBL1187211,12.3748429293,-46.709603522,2009
CHEMBL1187322,12.5321265453,-42.5984648206,2009
CHEMBL1187354,-45.29299489,18.1404926138,2009
CHEMBL1187377,17.1263509866,-40.1592683881,2009
CHEMBL1187390,15.8501022521,-36.952950151,2009
CHEMBL1187408,17.338781969,-36.0302351266,2009
CHEMBL1187411,21.9876589849,-44.2609728825,2009
CHEMBL1187449,15.4940096663,-36.4695079267,2009
CHEMBL1187522,20.4887544004,-37.8509077292,2009
CHEMBL1187556,15.8086058593,-32.1964571092,2009
CHEMBL1187565,17.1604891315,-36.7292216064,2009
CHEMBL1187580,16.1564463103,-44.9569795117,2009
CHEMBL1187585,17.1127571565,-39.4065959905,2009
CHEMBL1187842,39.9830877541,24.3872042489,2008
CHEMBL1188213,44.4695948412,-69.649723134,2006
CHEMBL1188501,-70.4094459952,-1.72842762825,2013
