,x,y,year
CHEMBL1093802,6.21260820601,-5.73033398502,2009
CHEMBL1094370,15.5864808009,33.3636493957,2009
CHEMBL1098894,-22.6543217459,0.886092872173,2009
CHEMBL1099282,-20.8794678128,3.61899005145,2009
CHEMBL1099283,-24.2666535504,0.679873573959,2009
CHEMBL1099285,-22.658391198,0.969751057112,2009
CHEMBL1112,2.92442431813,16.9674591437,2007
CHEMBL111943,-11.3654180986,34.496678934,2003
CHEMBL112024,-9.32819153115,30.7011809656,2001
CHEMBL112285,-12.5720694534,33.5061062209,2003
CHEMBL112296,20.5206082375,6.78882603578,2003
CHEMBL113956,-11.0638273341,9.87791908571,2001
CHEMBL114048,-10.1489006434,32.766052073,2003
CHEMBL116448,-10.5051058952,38.0069402605,2000
CHEMBL116463,-11.4524059727,9.46233832744,2001
CHEMBL116735,-14.6714949481,10.8670321001,2001
CHEMBL1169706,12.9241252037,-21.7862704858,2010
CHEMBL1169707,7.60914391637,-27.8087330975,2010
CHEMBL1169708,9.03850721655,-23.1946868423,2010
CHEMBL1169709,11.7417480967,-24.492436508,2010
CHEMBL1169722,8.14422749049,-30.506744821,2010
CHEMBL1169724,8.81796028751,-22.8650401907,2010
CHEMBL1169725,10.8737843222,-23.9792980815,2010
CHEMBL1169894,4.75564503362,-20.7051608296,2010
CHEMBL1169898,10.7739457874,-23.4651757371,2010
CHEMBL1169899,6.15481120559,-26.3707473462,2010
CHEMBL1169900,9.84367332005,-21.8710253781,2010
CHEMBL1169903,7.00854220173,-29.8930966706,2010
CHEMBL1170069,3.29556502319,-20.6089899234,2010
CHEMBL1170086,8.16508083122,-21.3726128695,2010
CHEMBL1170087,1.70119414435,-19.7168441602,2010
CHEMBL1170088,7.99214149012,-30.2537012831,2010
CHEMBL1170091,4.74810074344,-22.473749424,2010
CHEMBL1170092,2.12720584292,-22.9258771606,2010
CHEMBL1170093,-0.718443233443,-21.6190999017,2010
CHEMBL1170098,6.26607578445,-20.0255194977,2010
CHEMBL1170099,5.88801801292,-20.4164022417,2010
CHEMBL1170100,4.3581848579,-25.9720077613,2010
CHEMBL1170271,7.09944501045,-29.3522206462,2010
CHEMBL1170272,5.1445622127,-29.4556867085,2010
CHEMBL1170273,10.0886844652,-28.7019958201,2010
CHEMBL1170274,11.4212738424,-28.5388505764,2010
CHEMBL1170275,-0.851113443136,-22.1899773373,2010
CHEMBL1170276,5.3702715878,-22.5557359558,2010
CHEMBL1170279,8.79930643658,-28.1604387224,2010
CHEMBL1170280,9.59533485061,-29.9743473963,2010
CHEMBL1170281,10.240984783,-28.1480371426,2010
CHEMBL1170282,10.720131605,-24.238250959,2010
CHEMBL1170288,10.3437374921,-29.7789291943,2010
CHEMBL1170291,6.42248730153,-29.2506703403,2010
CHEMBL1170439,0.593029488445,-20.6659324058,2010
CHEMBL1170442,2.73111521195,-21.3935634968,2010
CHEMBL1170463,10.520026856,-28.4786782551,2010
CHEMBL1170464,10.620038942,-27.5473565753,2010
CHEMBL1170465,7.0317922239,-28.9303715826,2010
CHEMBL1170466,6.77982585226,-22.9895676566,2010
CHEMBL1170472,9.15451342243,-29.8696946716,2010
CHEMBL1170473,6.39998389821,-29.7565608106,2010
CHEMBL1170474,8.59532107483,-27.6293189738,2010
CHEMBL1170664,5.77816011761,-16.1053217181,2010
CHEMBL1170671,9.30447076276,-20.2166635408,2010
CHEMBL1170672,4.813761806,-22.8047302678,2010
CHEMBL1170673,5.34886269994,-23.2078242175,2010
CHEMBL1170679,7.92252604948,-21.9482388882,2010
CHEMBL1170680,4.10666542918,-26.4606359041,2010
CHEMBL1170681,9.20785200361,-21.7910837929,2010
CHEMBL1170682,11.0731235763,-24.3486050787,2010
CHEMBL1170686,6.62407984796,-29.0349530618,2010
CHEMBL1170687,8.52334461257,-27.9956408952,2010
CHEMBL1170688,7.96796562841,-27.6073738779,2010
CHEMBL1170689,8.28499896492,-27.6584507531,2010
CHEMBL1170696,1.92681837317,-25.9791977707,2010
CHEMBL1170871,0.795241473714,-19.9498212214,2010
CHEMBL1170886,2.60977490428,-22.4306670791,2010
CHEMBL1170887,2.1917858168,-20.0348512687,2010
CHEMBL1170890,1.93631683722,-21.5147574161,2010
CHEMBL1170891,9.27384118666,-22.3045520887,2010
CHEMBL1170892,9.40561637161,-21.7771196114,2010
CHEMBL1170897,9.03955259937,-28.5825087717,2010
CHEMBL1171041,1.4774822192,-23.3947222126,2010
CHEMBL1171092,-0.563896451918,-22.0304185218,2010
CHEMBL1171436,12.1218814594,-23.0054325583,2010
CHEMBL1171486,5.02262163725,-17.7142493384,2010
CHEMBL1171500,3.85304184656,-21.3535184424,2010
CHEMBL1171632,7.15442056082,-26.0774779339,2010
CHEMBL1171992,0.527352832054,-21.6312868396,2010
CHEMBL1172207,5.59592037713,-23.6473645069,2010
CHEMBL1172398,3.73644289233,-19.2887227907,2010
CHEMBL1172403,9.27843377561,-24.4244943672,2010
CHEMBL1172404,1.76191285614,-24.0225057321,2010
CHEMBL1172405,3.12048099245,-23.8976838909,2010
CHEMBL1172406,4.22011622053,-16.8370546286,2010
CHEMBL1172595,12.0442204998,-23.0680643921,2010
CHEMBL1172596,9.31644436259,-22.780477663,2010
CHEMBL1172597,6.70273305402,-23.0253620969,2010
CHEMBL1172722,5.76537390337,-25.8520557146,2010
CHEMBL1172723,8.18480214925,-28.5202971265,2010
CHEMBL1172724,9.40816824029,-28.4426393735,2010
CHEMBL1172725,10.4973722921,-21.2659243647,2010
CHEMBL1172726,9.30729919606,-19.7944087495,2010
CHEMBL1172727,7.00503015863,-18.311618811,2010
CHEMBL1172728,-0.279035936794,-20.505128758,2010
CHEMBL1172788,1.37257449322,-28.183121432,2010
CHEMBL1172789,5.80671167731,-17.5863544225,2010
CHEMBL1172790,5.82930090503,-15.5448938652,2010
CHEMBL1172791,5.90220791505,-15.5228976991,2010
CHEMBL1172792,11.5793048054,-17.5969603198,2010
CHEMBL1172793,8.47807197941,-19.3736741683,2010
CHEMBL1172794,4.63734847052,-16.8397871676,2010
CHEMBL1172795,7.11225392545,-23.3915105739,2010
CHEMBL1172862,9.99004200794,-21.7370604594,2010
CHEMBL1172863,0.577726404771,-20.6517356559,2010
CHEMBL1172864,1.48970565857,-19.8783202528,2010
CHEMBL1172865,-0.13012812366,-21.1580792301,2010
CHEMBL1172866,0.00724404044787,-16.7175745128,2010
CHEMBL1172867,10.5895372424,-19.4128934524,2010
CHEMBL1172868,3.85119933047,-17.2235590065,2010
CHEMBL1172869,5.09262309401,-17.7232094065,2010
CHEMBL1172933,2.26147319087,-25.9158312401,2010
CHEMBL1172934,2.24142064314,-24.8655026301,2010
CHEMBL1172938,-0.732728030195,-17.3304903933,2010
CHEMBL1172939,1.17093584922,-17.2912028966,2010
CHEMBL1173004,5.6099422324,-20.6831433039,2010
CHEMBL1173005,2.7774600685,-26.480006129,2010
CHEMBL1173061,7.03080493608,-21.5430110127,2010
CHEMBL1173062,3.14288988887,-26.4537487191,2010
CHEMBL1173063,0.462713313591,-18.0491818507,2010
CHEMBL1173071,3.81949450238,-27.4952422865,2010
CHEMBL1173127,4.79665024584,-21.6844592765,2010
CHEMBL1173132,2.2428921428,-28.2170612604,2010
CHEMBL1173135,7.88202345786,-24.0070397239,2010
CHEMBL1173136,7.01740508132,-25.3352702505,2010
CHEMBL1173205,3.32043442524,-27.5500262204,2010
CHEMBL1173206,1.69564535928,-26.9255892836,2010
CHEMBL1173207,1.97680212747,-27.1021791846,2010
CHEMBL1173208,0.253102706453,-17.7043423459,2010
CHEMBL1173209,5.9489955327,-23.1499272333,2010
CHEMBL1173210,3.35385152405,-29.1906370284,2010
CHEMBL1173211,3.59823518067,-22.1880593361,2010
CHEMBL1173281,2.2056475424,-26.8599067972,2010
CHEMBL1173282,11.3997475504,-24.5690079091,2010
CHEMBL1173283,9.20778805385,-23.065430613,2010
CHEMBL1173284,6.39573876122,-25.7500364285,2010
