,x,y,year
CHEMBL1080728,-50.9521079014,35.7926328536,2009
CHEMBL1080729,117.333658565,-108.906680359,2009
CHEMBL1080735,131.614626838,-72.1801238059,2009
CHEMBL1080741,115.114503388,-111.401659111,2009
CHEMBL1080745,-50.0291840239,38.9817539713,2009
CHEMBL1080746,-46.0047450578,54.0444338533,2009
CHEMBL1080747,-46.6313334157,58.3863207818,2009
CHEMBL1080755,131.311617125,-67.2729895879,2009
CHEMBL1080884,56.569512469,89.4038046001,2009
CHEMBL1080899,114.727901026,-113.889000549,2009
CHEMBL1080907,134.84329375,-69.0272003068,2009
CHEMBL1080926,136.161877178,-69.4823650306,2009
CHEMBL1081035,-49.335400738,57.6909118728,2009
CHEMBL1081036,-47.9793905156,40.0031572851,2009
CHEMBL1081074,119.06316276,-115.197171626,2009
CHEMBL1081094,112.172958053,-111.689185104,2009
CHEMBL1081095,116.815279145,-106.072286227,2009
CHEMBL1081110,115.151058602,-114.803619013,2009
CHEMBL1081120,124.772539509,-109.457988922,2009
CHEMBL1081212,132.905606945,-69.2639440388,2009
CHEMBL1081254,128.561716736,-69.540776965,2009
CHEMBL1081302,-44.738486369,49.2373424152,2009
CHEMBL1081303,-50.3057189187,43.5234619688,2009
CHEMBL1081468,-54.4248387928,47.9236554664,2009
CHEMBL1081644,-40.6340650977,43.1674621523,2009
CHEMBL1081648,133.848249547,-70.9298942547,2009
CHEMBL1081649,129.564833374,-72.3892459277,2009
CHEMBL108173,68.5366424451,64.602177542,2000
CHEMBL1081792,115.339329337,-114.302522689,2009
CHEMBL1081793,117.785609298,-114.299571145,2009
CHEMBL1081794,106.319617877,-115.868889457,2009
CHEMBL10821,-2.51032550548,-2.82687854665,1991
CHEMBL1082198,115.608419438,-115.995246684,2009
CHEMBL1082199,112.373684382,-112.069310339,2009
CHEMBL1082200,112.325175069,-106.719352293,2009
CHEMBL1082209,132.31259581,-71.4793295144,2009
CHEMBL1082210,132.364954689,-71.15405402,2009
CHEMBL1082211,131.607864102,-69.0829388313,2009
CHEMBL108229,23.0949523119,12.2994288234,1997
CHEMBL108241,-11.491164415,45.8751810547,1995
CHEMBL108245,-13.2856146664,51.3084801395,1996
CHEMBL1082452,-50.487148275,21.0896176591,2010
CHEMBL1082467,90.7484171874,-101.745689981,2010
CHEMBL1082473,-109.357140836,96.9501512962,2010
CHEMBL1082474,-108.409532805,99.343078857,2010
CHEMBL1082483,-83.9971579808,-143.741160533,2010
CHEMBL1082484,-79.8436000255,-144.357564026,2010
CHEMBL1082485,-86.2757342174,-150.072232428,2010
CHEMBL1082494,-87.0768543023,-144.278477391,2010
CHEMBL1082508,-151.237439535,-13.4687599855,2010
CHEMBL1082509,-149.245367888,-10.6621377914,2010
CHEMBL1082510,-151.059913598,-13.6601360973,2010
CHEMBL1082723,-15.2332693283,-5.62827204333,2010
CHEMBL1082761,-16.8090107211,85.4462628436,2010
CHEMBL1082762,-16.6917202707,70.1877769861,2010
CHEMBL1082763,-4.22752670454,82.6296851067,2010
CHEMBL1082764,-85.103873899,-150.026129112,2010
CHEMBL1082765,-81.8296432235,-149.099492752,2010
CHEMBL1082766,-86.6053993914,-146.440246153,2010
CHEMBL1082767,-88.043613037,-140.887947422,2010
CHEMBL1082773,93.4266682525,-111.634373836,2010
CHEMBL1082777,-159.245964588,-12.6977383366,2010
CHEMBL1082795,-108.637447662,97.5240815869,2010
CHEMBL1082818,-88.7386511715,-151.125647556,2010
CHEMBL1082822,-113.064051081,99.7796166216,2010
CHEMBL1082862,-25.7800364113,-6.21392174299,2009
CHEMBL1083075,-18.3082726952,84.1658387436,2010
CHEMBL1083076,-4.63770671712,86.8125718839,2010
CHEMBL1083077,-1.31057467205,85.8209115146,2010
CHEMBL1083078,-13.5885229454,82.6819795494,2010
