,,extra_tooltip,which,x,y
127,CHEMBL1096529,CHEMBL1096529,chembl,53.5673904419,89.2125701904
128,CHEMBL1096529,CHEMBL1096529,chembl,53.5618171692,89.1930770874
129,CHEMBL1096540,CHEMBL1096540,chembl,49.3364677429,87.2699890137
130,CHEMBL1096540,CHEMBL1096540,chembl,49.3486671448,87.2633666992
131,CHEMBL1096671,CHEMBL1096671,chembl,47.9864196777,87.3066558838
132,CHEMBL1096671,CHEMBL1096671,chembl,47.9898376465,87.3051757812
133,CHEMBL1096802,CHEMBL1096802,chembl,50.7417449951,86.9029846191
134,CHEMBL1096802,CHEMBL1096802,chembl,50.7428092957,86.9066848755
135,CHEMBL1096903,CHEMBL1096903,chembl,-16.5130615234,8.30954360962
136,CHEMBL1097181,CHEMBL1097181,chembl,50.9245300293,84.9409179688
137,CHEMBL1097181,CHEMBL1097181,chembl,50.7610321045,84.9323883057
138,CHEMBL1097484,CHEMBL1097484,chembl,48.9650001526,88.239151001
139,CHEMBL1097484,CHEMBL1097484,chembl,48.9687347412,88.234703064
140,CHEMBL1098133,CHEMBL1098133,chembl,50.8069229126,89.9510192871
141,CHEMBL1098133,CHEMBL1098133,chembl,50.8277244568,90.02684021
142,CHEMBL1098134,CHEMBL1098134,chembl,54.3103713989,86.5168151855
143,CHEMBL1098134,CHEMBL1098134,chembl,54.3325157166,86.5244293213
144,CHEMBL1098483,CHEMBL1098483,chembl,54.0011672974,87.6508483887
145,CHEMBL1098483,CHEMBL1098483,chembl,53.9948883057,87.6478881836
146,CHEMBL1099255,CHEMBL1099255,chembl,-17.5020256042,9.7533197403
147,CHEMBL110317,CHEMBL110317,chembl,15.4455785751,-45.5896682739
148,CHEMBL110365,CHEMBL110365,chembl,-5.9799952507,22.3610515594
149,CHEMBL11066,CHEMBL11066,chembl,-5.66461992264,-82.4940643311
150,CHEMBL11066,CHEMBL11066,chembl,-5.50635814667,-82.5788955688
151,CHEMBL111021,CHEMBL111021,chembl,-51.1085281372,1.71066141129
152,CHEMBL111065,CHEMBL111065,chembl,-51.5149688721,4.91990280151
153,CHEMBL1112,CHEMBL1112,chembl,-21.6803817749,18.2126560211
154,CHEMBL1112,CHEMBL1112,chembl,-21.9545936584,18.0468063354
155,CHEMBL1112,CHEMBL1112,chembl,-21.6953125,18.3129310608
156,CHEMBL1112,CHEMBL1112,chembl,-22.0327568054,18.108921051
157,CHEMBL111376,CHEMBL111376,chembl,18.9082450867,-41.4999389648
158,CHEMBL11170,CHEMBL11170,chembl,-4.71380376816,-84.3109512329
159,CHEMBL11170,CHEMBL11170,chembl,-4.49716854095,-84.4281005859
160,CHEMBL111713,CHEMBL111713,chembl,-50.4088249207,1.87205302715
161,CHEMBL11265,CHEMBL11265,chembl,24.0885848999,64.637840271
162,CHEMBL112841,CHEMBL112841,chembl,-51.1697120667,1.78306138515
163,CHEMBL113326,CHEMBL113326,chembl,-50.7479019165,4.03370571136
164,CHEMBL113752,CHEMBL113752,chembl,-74.8089447021,-2.6648888588
165,CHEMBL11386,CHEMBL11386,chembl,-3.43499183655,-83.8320770264
166,CHEMBL11388,CHEMBL11388,chembl,-4.25618076324,-82.4169769287
167,CHEMBL11388,CHEMBL11388,chembl,-4.4901599884,-82.8335952759
168,CHEMBL11388,CHEMBL11388,chembl,-4.48576164246,-82.8314056396
169,CHEMBL113960,CHEMBL113960,chembl,-62.4711647034,3.54574680328
170,CHEMBL11425,CHEMBL11425,chembl,24.1790275574,63.3727989197
171,CHEMBL114452,CHEMBL114452,chembl,-50.7126617432,2.74357414246
172,CHEMBL114453,CHEMBL114453,chembl,-50.6444511414,3.14522457123
173,CHEMBL114893,CHEMBL114893,chembl,-57.1745948792,-1.27189362049
174,CHEMBL115003,CHEMBL115003,chembl,-57.2933006287,-1.33521914482
175,CHEMBL11577,CHEMBL11577,chembl,11.0689210892,-80.6535797119
176,CHEMBL11592,CHEMBL11592,chembl,24.0515422821,64.3514404297
177,CHEMBL116314,CHEMBL116314,chembl,18.900680542,-31.9200687408
178,CHEMBL116626,CHEMBL116626,chembl,-62.1347007751,3.83340024948
179,CHEMBL116809,CHEMBL116809,chembl,-62.4805679321,3.57241368294
180,CHEMBL117157,CHEMBL117157,chembl,24.7013092041,-34.5615081787
181,CHEMBL11771,CHEMBL11771,chembl,-5.43512582779,-81.6201400757
182,CHEMBL117972,CHEMBL117972,chembl,-60.5274848938,-0.34904435277
183,CHEMBL1179986,CHEMBL1179986,chembl,18.5482597351,12.8556756973
184,CHEMBL1182155,CHEMBL1182155,chembl,-48.7821807861,-27.7442150116
185,CHEMBL1182155,CHEMBL1182155,chembl,-48.6980819702,-27.8118686676
186,CHEMBL1184199,CHEMBL1184199,chembl,10.2806015015,81.0243835449
187,CHEMBL1185,CHEMBL1185,chembl,21.7919273376,-54.7473907471
188,CHEMBL1185,CHEMBL1185,chembl,21.7063465118,-55.0041542053
189,CHEMBL118563,CHEMBL118563,chembl,21.8024768829,-32.5979042053
190,CHEMBL11866,CHEMBL11866,chembl,-9.92805576324,-69.7786407471
191,CHEMBL1190042,CHEMBL1190042,chembl,51.7949333191,15.8502502441
192,CHEMBL119455,CHEMBL119455,chembl,45.3005218506,-50.765712738
193,CHEMBL1194812,CHEMBL1194812,chembl,10.3402462006,81.0729522705
194,CHEMBL11963,CHEMBL11963,chembl,17.0362071991,-91.8767547607
195,CHEMBL1199172,CHEMBL1199172,chembl,-27.0283603668,-79.9345932007
196,CHEMBL119927,CHEMBL119927,chembl,24.643913269,-30.1650466919
197,CHEMBL120055,CHEMBL120055,chembl,24.1329975128,-32.4791183472
198,CHEMBL120055,CHEMBL120055,chembl,24.1394748688,-32.4778289795
199,CHEMBL120055,CHEMBL120055,chembl,24.1367111206,-32.4821243286
200,CHEMBL120272,CHEMBL120272,chembl,19.7021827698,-33.5372657776
201,CHEMBL120480,CHEMBL120480,chembl,24.7006454468,-34.4943847656
202,CHEMBL120514,CHEMBL120514,chembl,18.9140377045,-31.9329395294
203,CHEMBL120927,CHEMBL120927,chembl,49.1026535034,-52.2044029236
204,CHEMBL1210154,CHEMBL1210154,chembl,-95.751449585,-3.89651608467
205,CHEMBL121207,CHEMBL121207,chembl,19.7228145599,-33.1834487915
206,CHEMBL12157,CHEMBL12157,chembl,-6.99865293503,-72.6807022095
207,CHEMBL121901,CHEMBL121901,chembl,20.9637966156,-31.6865959167
208,CHEMBL1221497,CHEMBL1221497,chembl,14.4901609421,7.46148395538
209,CHEMBL1221498,CHEMBL1221498,chembl,-1.91884577274,22.7667884827
210,CHEMBL1221499,CHEMBL1221499,chembl,12.576338768,21.1658153534
211,CHEMBL1221544,CHEMBL1221544,chembl,-2.23008918762,24.1619720459
212,CHEMBL1221545,CHEMBL1221545,chembl,13.652472496,21.4017009735
213,CHEMBL1221591,CHEMBL1221591,chembl,-2.33074378967,24.2211151123
214,CHEMBL1221592,CHEMBL1221592,chembl,13.624382019,21.5140304565
215,CHEMBL1221594,CHEMBL1221594,chembl,13.6033639908,21.5968894958
216,CHEMBL1222362,CHEMBL1222362,chembl,13.4441556931,7.61596775055
217,CHEMBL122453,CHEMBL122453,chembl,49.0516319275,-52.2027549744
218,CHEMBL12366,CHEMBL12366,chembl,11.53211689,-80.7316207886
219,CHEMBL124069,CHEMBL124069,chembl,-20.7519454956,-34.7381973267
220,CHEMBL124069,CHEMBL124069,chembl,-20.7410945892,-34.7293205261
221,CHEMBL124069,CHEMBL124069,chembl,-20.7525463104,-34.72498703
222,CHEMBL1241546,CHEMBL1241546,chembl,61.4410018921,12.5662622452
223,CHEMBL1241547,CHEMBL1241547,chembl,63.665145874,10.0758132935
224,CHEMBL1241548,CHEMBL1241548,chembl,62.9837837219,9.67336368561
225,CHEMBL1241557,CHEMBL1241557,chembl,37.4711227417,48.3603897095
226,CHEMBL1241639,CHEMBL1241639,chembl,61.6194190979,10.8492126465
227,CHEMBL1241640,CHEMBL1241640,chembl,68.772567749,10.6337547302
228,CHEMBL1241641,CHEMBL1241641,chembl,63.9075622559,10.2354078293
229,CHEMBL1241642,CHEMBL1241642,chembl,66.0482406616,11.2307548523
230,CHEMBL1241736,CHEMBL1241736,chembl,68.1304168701,13.690117836
231,CHEMBL1241737,CHEMBL1241737,chembl,68.1159591675,10.6775274277
232,CHEMBL1241738,CHEMBL1241738,chembl,62.7674064636,11.1229038239
233,CHEMBL1241824,CHEMBL1241824,chembl,67.8258895874,12.7168674469
234,CHEMBL1241825,CHEMBL1241825,chembl,66.5887527466,10.3544511795
235,CHEMBL1241912,CHEMBL1241912,chembl,66.7493667603,12.2147941589
236,CHEMBL1241913,CHEMBL1241913,chembl,67.2883224487,11.4893341064
237,CHEMBL1241913,CHEMBL1241913,chembl,67.3234329224,11.4989337921
238,CHEMBL1241998,CHEMBL1241998,chembl,66.0037918091,12.8785114288
239,CHEMBL1242081,CHEMBL1242081,chembl,66.6308441162,13.4628677368
240,CHEMBL1242167,CHEMBL1242167,chembl,66.5924682617,13.5192747116
241,CHEMBL1242257,CHEMBL1242257,chembl,66.6128082275,13.5676651001
242,CHEMBL1242345,CHEMBL1242345,chembl,67.3145904541,12.2345046997
243,CHEMBL1242352,CHEMBL1242352,chembl,-16.0826396942,31.9701919556
244,CHEMBL1242352,CHEMBL1242352,chembl,-16.0434989929,32.144657135
245,CHEMBL1242436,CHEMBL1242436,chembl,68.8952713013,12.0618362427
246,CHEMBL1242444,CHEMBL1242444,chembl,38.86120224,45.1691246033
247,CHEMBL1242445,CHEMBL1242445,chembl,38.8499908447,45.1675682068
248,CHEMBL1242533,CHEMBL1242533,chembl,68.5916748047,12.2301397324
249,CHEMBL1242541,CHEMBL1242541,chembl,37.9357452393,44.9716835022
250,CHEMBL1242542,CHEMBL1242542,chembl,37.935749054,44.9716835022
251,CHEMBL1242623,CHEMBL1242623,chembl,68.5933227539,12.2322540283
252,CHEMBL1242632,CHEMBL1242632,chembl,38.1657485962,44.5547180176
253,CHEMBL1242633,CHEMBL1242633,chembl,38.1980552673,44.5501441956
254,CHEMBL1242717,CHEMBL1242717,chembl,69.3980484009,12.8296308517
255,CHEMBL1242724,CHEMBL1242724,chembl,37.5069313049,47.2273254395
256,CHEMBL1242725,CHEMBL1242725,chembl,37.520450592,47.2205123901
257,CHEMBL1242818,CHEMBL1242818,chembl,38.5652427673,47.318195343
258,CHEMBL1242819,CHEMBL1242819,chembl,38.5699539185,47.2939491272
259,CHEMBL1242904,CHEMBL1242904,chembl,63.3865737915,10.3063936234
260,CHEMBL1242912,CHEMBL1242912,chembl,37.4980888367,48.4129295349
261,CHEMBL124444,CHEMBL124444,chembl,-7.92797279358,37.3223304749
262,CHEMBL124638,CHEMBL124638,chembl,-18.4186573029,-35.3114013672
263,CHEMBL124638,CHEMBL124638,chembl,-18.425775528,-35.3091697693
264,CHEMBL124700,CHEMBL124700,chembl,-18.4504337311,-31.5730018616
265,CHEMBL124818,CHEMBL124818,chembl,-22.4420852661,-29.9162693024
266,CHEMBL125349,CHEMBL125349,chembl,-79.2922286987,8.67258453369
267,CHEMBL125349,CHEMBL125349,chembl,-79.2489547729,8.71690940857
268,CHEMBL125365,CHEMBL125365,chembl,-11.062710762,32.7451667786
269,CHEMBL1254582,CHEMBL1254582,chembl,-43.7743835449,-26.0749073029
270,CHEMBL1254659,CHEMBL1254659,chembl,-42.0128822327,-27.3764038086
271,CHEMBL1254660,CHEMBL1254660,chembl,-43.6417999268,-26.069978714
272,CHEMBL1254742,CHEMBL1254742,chembl,-42.2846374512,-31.7714481354
273,CHEMBL1254743,CHEMBL1254743,chembl,-44.3813667297,-30.693655014
274,CHEMBL1254828,CHEMBL1254828,chembl,-42.172252655,-29.2979354858
275,CHEMBL1254829,CHEMBL1254829,chembl,-43.195728302,-29.917930603
276,CHEMBL1254914,CHEMBL1254914,chembl,-42.6655082703,-31.3288536072
277,CHEMBL1254915,CHEMBL1254915,chembl,-43.7999839783,-30.1318340302
278,CHEMBL1255002,CHEMBL1255002,chembl,-41.5137062073,-29.3887329102
279,CHEMBL1255003,CHEMBL1255003,chembl,-42.4938163757,-30.4121952057
